e.emp_id,e.name,e.age,e.job_role,e.salary,e.join_date,e.department,d.loc
215,Wayne Harris,28,Consultant,75634,2019-01-17,Finance,Chicago
219,Jason Neal,23,Developer,109260,1982-11-26,Finance,Chicago
222,Ashley Ellison,42,Analyst,91018,1988-05-17,Finance,Chicago
224,Sean Miller,46,Developer,147585,2000-04-08,Finance,Chicago
227,Jenna Kennedy,34,Consultant,54951,1999-01-28,Finance,Chicago
228,Paul Galloway,59,Developer,104740,1998-12-11,Finance,Chicago
231,David Navarro,41,Manager,145335,2011-11-29,Finance,Chicago
247,Jeremy Cortez,45,Developer,110938,1984-07-14,Finance,Chicago
253,Cynthia Fischer,23,Engineer,79106,2014-12-29,Finance,Chicago
254,Kevin Wong,48,Engineer,60311,2019-02-26,Finance,Chicago
260,Daniel Martin,42,Manager,119742,2005-10-26,Finance,Chicago
267,Linda Butler,45,Engineer,100518,1987-12-05,Finance,Chicago
276,Alexis Maynard,51,Analyst,94788,1998-11-16,Finance,Chicago
285,Brett Bell,46,Analyst,81637,2012-09-28,Finance,Chicago
287,Tiffany Hart,31,Consultant,56872,1988-09-07,Finance,Chicago
289,Andrew Stark,30,Engineer,145783,2000-08-21,Finance,Chicago
293,Rebecca Blankenship,24,Engineer,147520,1995-04-02,Finance,Chicago
306,Kelly Weber,59,Analyst,149707,1970-07-26,Finance,Chicago
307,Tracy Higgins,44,Consultant,135075,2021-06-09,Finance,Chicago
309,Nicholas Kane,50,Developer,122098,2016-09-02,Finance,Chicago
319,Diane Barry,27,Analyst,110483,2020-08-02,Finance,Chicago
328,Juan Sanchez,38,Analyst,53728,2020-03-09,Finance,Chicago
330,Mitchell Williams,33,Engineer,66475,2024-11-15,Finance,Chicago
342,Mary Harris,30,Developer,52582,2010-12-03,Finance,Chicago
350,Joshua Hansen,39,Analyst,53008,1980-06-13,Finance,Chicago
351,Janet Mcdonald,34,Developer,139833,1981-07-01,Finance,Chicago
362,Kim Leach,59,Consultant,79629,1985-02-10,Finance,Chicago
363,Rebecca Moore,32,Manager,141133,1987-04-27,Finance,Chicago
365,Mrs. Paula Wright PhD,26,Analyst,52624,1971-02-21,Finance,Chicago
368,Colton Jones,53,Analyst,53031,1995-04-01,Finance,Chicago
370,Brian Nelson,39,Engineer,127605,2022-08-10,Finance,Chicago
373,Alexis Wiggins,56,Developer,146369,2004-07-18,Finance,Chicago
394,Vicki Hood,54,Manager,64918,2000-02-24,Finance,Chicago
398,Robert Rivera,54,Analyst,108203,1997-08-30,Finance,Chicago
401,William Young,60,Developer,74063,2003-05-08,Finance,Chicago
402,Stephanie Walters,30,Developer,53180,2013-04-28,Finance,Chicago
403,Norman Roberts,49,Manager,41455,1976-01-17,Finance,Chicago
406,Matthew Romero,26,Engineer,42059,2007-08-30,Finance,Chicago
415,Richard Montgomery,51,Developer,72973,2001-04-18,Finance,Chicago
419,Brendan Davis,53,Analyst,63481,1977-05-07,Finance,Chicago
421,Tristan Thomas,22,Analyst,86285,1998-06-28,Finance,Chicago
435,Mark Rodriguez MD,33,Consultant,50351,2024-07-29,Finance,Chicago
438,Rhonda Ramsey,44,Consultant,140685,2009-07-17,Finance,Chicago
449,Jacob Horton,33,Developer,99445,1979-09-14,Finance,Chicago
469,Daniel Williams,23,Consultant,137453,2014-07-22,Finance,Chicago
476,Laura Munoz,29,Developer,87675,2022-02-14,Finance,Chicago
477,Theresa Johnson,46,Analyst,148784,2022-03-30,Finance,Chicago
480,Monica Castro,28,Consultant,65716,2019-11-07,Finance,Chicago
493,Barbara Jackson,28,Consultant,77241,2000-08-07,Finance,Chicago
502,Daniel Brown,38,Consultant,100415,1979-11-08,Finance,Chicago
509,Jacob Baker,22,Manager,103514,2022-05-17,Finance,Chicago
515,Amy Bautista,50,Engineer,130720,2011-02-23,Finance,Chicago
516,Megan Thomas,51,Developer,61461,2020-01-15,Finance,Chicago
523,Paul Martinez,29,Manager,143248,1998-11-01,Finance,Chicago
547,Joseph Thompson,26,Manager,76591,2021-01-13,Finance,Chicago
550,Kelly Mccoy,47,Engineer,104002,2019-05-01,Finance,Chicago
554,Timothy Salazar,48,Developer,56962,1991-01-30,Finance,Chicago
560,Susan George,33,Developer,46810,2017-01-06,Finance,Chicago
562,Brady Cook,43,Consultant,41060,2010-01-18,Finance,Chicago
573,Christina Jordan,26,Analyst,147233,2005-07-01,Finance,Chicago
578,James Price,47,Manager,71199,1978-03-09,Finance,Chicago
580,Lauren Davis,24,Engineer,92993,2019-11-20,Finance,Chicago
591,Michael Melton,56,Developer,110409,1970-10-01,Finance,Chicago
592,Latoya Landry,52,Developer,116957,2010-01-11,Finance,Chicago
597,Tamara Miller,44,Engineer,119183,1984-03-14,Finance,Chicago
602,Dr. Tanner Henderson,49,Developer,57717,2016-09-20,Finance,Chicago
603,Amber Solomon,45,Developer,42192,1985-02-07,Finance,Chicago
607,Cindy Clark,55,Consultant,135664,1998-12-17,Finance,Chicago
608,Damon Stone,58,Manager,58078,1990-01-24,Finance,Chicago
609,Bradley Oliver,36,Consultant,149303,2003-04-07,Finance,Chicago
611,Christopher Taylor,54,Consultant,84358,2005-07-05,Finance,Chicago
616,Pamela Caldwell,30,Engineer,115528,2015-04-02,Finance,Chicago
630,Mark Brooks,39,Engineer,125101,2005-08-07,Finance,Chicago
638,Joel Rodriguez,50,Developer,147456,2014-03-30,Finance,Chicago
639,Maria Johnson,30,Developer,146543,1979-06-20,Finance,Chicago
642,Shelby Stein,52,Analyst,68333,1971-09-20,Finance,Chicago
643,Maurice Scott,31,Developer,120291,2014-02-10,Finance,Chicago
644,Shawn Castillo,22,Developer,63009,1977-12-11,Finance,Chicago
651,Ashley Watts,37,Analyst,89011,2014-02-20,Finance,Chicago
661,Frances Mercado,40,Developer,137117,1976-11-25,Finance,Chicago
664,Wanda Wilson,34,Engineer,115407,1984-05-13,Finance,Chicago
665,Rita Johnston,38,Manager,88688,1984-11-15,Finance,Chicago
674,David Martinez,33,Manager,127843,2010-08-05,Finance,Chicago
677,Karen Flores,28,Analyst,72688,2014-04-03,Finance,Chicago
681,John Horton,46,Consultant,72195,1998-11-08,Finance,Chicago
687,Susan Gomez,35,Analyst,148959,1989-02-05,Finance,Chicago
688,Tina James,56,Developer,67096,1976-08-16,Finance,Chicago
700,Eugene Blair,26,Analyst,116654,1976-07-29,Finance,Chicago
701,Paul Carrillo,27,Engineer,132995,1970-02-10,Finance,Chicago
705,Michael Smith,52,Developer,147513,1992-10-13,Finance,Chicago
710,Logan Houston,33,Manager,80380,2014-04-10,Finance,Chicago
725,Timothy Grant,36,Analyst,82953,2013-12-17,Finance,Chicago
727,Eric Wheeler,23,Consultant,93278,1973-05-13,Finance,Chicago
734,Jose Martinez,44,Engineer,100737,1976-12-05,Finance,Chicago
737,Jonathan English,37,Engineer,43835,1977-05-02,Finance,Chicago
741,Noah Smith,58,Developer,127384,1996-04-27,Finance,Chicago
744,Laura Matthews,25,Manager,88380,2005-09-07,Finance,Chicago
750,Emily Morris,54,Consultant,53370,2009-10-08,Finance,Chicago
756,Sharon Martinez,32,Analyst,96764,1995-05-03,Finance,Chicago
757,Gregory Parsons,57,Analyst,65166,1991-04-25,Finance,Chicago
760,Dawn Boyd,44,Manager,97030,1980-03-07,Finance,Chicago
763,Jeffrey Olson,43,Engineer,43212,1970-05-11,Finance,Chicago
767,Ryan Mcguire,47,Consultant,59831,1976-11-18,Finance,Chicago
770,Christopher Sawyer,30,Manager,92257,1972-02-14,Finance,Chicago
788,Jason Rodriguez,42,Developer,100542,1996-04-24,Finance,Chicago
793,Adam Gomez,55,Consultant,55362,1977-09-20,Finance,Chicago
796,Cindy Robinson,40,Engineer,50713,1970-06-22,Finance,Chicago
798,Debbie Gray,33,Analyst,149471,2002-08-18,Finance,Chicago
799,Robert Perry,30,Analyst,113610,2004-04-30,Finance,Chicago
801,Jacqueline Gonzalez,24,Consultant,63059,2022-12-25,Finance,Chicago
802,Samuel Miller,24,Engineer,84626,1989-09-24,Finance,Chicago
808,Julie Hull,34,Developer,67098,1987-10-27,Finance,Chicago
809,Elizabeth Koch,33,Manager,43059,2015-08-02,Finance,Chicago
811,Anthony Anderson,45,Consultant,79784,1977-02-22,Finance,Chicago
813,Catherine King,37,Consultant,54064,1995-11-13,Finance,Chicago
815,Jordan Oliver,33,Analyst,100161,1987-02-09,Finance,Chicago
825,James Peterson,28,Consultant,134006,1992-06-06,Finance,Chicago
832,Brenda Hill,31,Developer,67009,2001-04-26,Finance,Chicago
833,Angela Davis,23,Engineer,120069,2017-10-26,Finance,Chicago
837,Steven Charles,60,Manager,75635,2020-10-24,Finance,Chicago
849,Latoya Fernandez,27,Developer,44947,1990-09-29,Finance,Chicago
854,William Diaz,56,Consultant,143437,1988-01-24,Finance,Chicago
870,Charles Rangel,29,Manager,146505,1974-03-21,Finance,Chicago
874,Richard Brown,30,Manager,75780,1979-06-04,Finance,Chicago
881,Tracy Townsend,46,Manager,130588,2015-05-20,Finance,Chicago
887,Samantha Davis,57,Manager,115280,2006-07-26,Finance,Chicago
903,Brandon Patel,32,Analyst,63432,2000-09-07,Finance,Chicago
908,Dalton Davis,42,Consultant,63939,1980-10-31,Finance,Chicago
910,Dana Anderson,49,Analyst,125160,1992-12-27,Finance,Chicago
918,Matthew Evans,57,Manager,138769,2011-09-14,Finance,Chicago
920,Monica Johnson,36,Analyst,94085,1999-03-07,Finance,Chicago
924,Amy Rodriguez,53,Manager,113027,2007-01-23,Finance,Chicago
926,Dawn Johnson,33,Developer,72553,1989-06-06,Finance,Chicago
929,Joseph Schroeder,31,Consultant,102353,1974-12-26,Finance,Chicago
932,David Perez,46,Manager,64523,1996-12-01,Finance,Chicago
936,Ryan Nunez,29,Consultant,108732,1971-02-01,Finance,Chicago
940,Cody Mcfarland,38,Developer,103044,1970-09-29,Finance,Chicago
947,Nicholas Taylor,48,Analyst,57019,1984-09-20,Finance,Chicago
952,Neil Hunt,34,Analyst,67980,1990-01-16,Finance,Chicago
959,Steven Hendrix,58,Analyst,81565,2008-06-21,Finance,Chicago
967,Summer Ali,48,Engineer,138101,2006-08-28,Finance,Chicago
969,Mark Casey,54,Engineer,74262,1988-11-29,Finance,Chicago
974,Steven Frederick,30,Developer,45633,1974-10-05,Finance,Chicago
976,Jeffrey Castillo,59,Manager,149613,1983-10-26,Finance,Chicago
984,Mary Russo,53,Manager,50340,1996-08-11,Finance,Chicago
986,Ashley Jackson,47,Consultant,144794,2008-03-31,Finance,Chicago
991,Michael Morrison,53,Developer,49752,2005-01-03,Finance,Chicago
994,Steven Wilcox,28,Engineer,56844,2020-05-02,Finance,Chicago
996,Michele Obrien,52,Engineer,100661,2007-08-25,Finance,Chicago
5,Tom Hart,22,Manager,125253,1976-11-02,HR,New York
16,Andrea Duffy,41,Engineer,136842,2001-06-23,HR,New York
19,Jenny Schmitt,23,Manager,60820,2011-10-07,HR,New York
26,Lisa Molina,29,Analyst,78853,1992-06-15,HR,New York
30,Gregory Brown,56,Engineer,148323,1991-04-22,HR,New York
35,Jose Shaw,31,Analyst,130801,1983-09-25,HR,New York
36,John Gray,57,Manager,59921,1977-07-09,HR,New York
41,Kimberly Ritter,29,Developer,77943,2017-05-26,HR,New York
47,Kathleen Armstrong,33,Developer,48731,1972-11-28,HR,New York
53,Mr. Justin Garcia,54,Engineer,97882,1978-01-20,HR,New York
60,Zachary Stephens,40,Consultant,113619,2009-09-06,HR,New York
62,Natalie Rivera,30,Analyst,94603,2000-01-05,HR,New York
65,George Neal,33,Consultant,142513,1989-01-31,HR,New York
68,Tim Thomas,58,Engineer,48312,2010-06-21,HR,New York
73,Megan Ramos,53,Engineer,95597,2009-06-11,HR,New York
78,Jesse Jackson,43,Developer,117432,2004-03-13,HR,New York
85,David Mcbride,54,Analyst,62832,1986-11-05,HR,New York
88,Sarah Tyler,41,Consultant,54858,2022-06-08,HR,New York
89,David Rogers,35,Engineer,57912,2019-02-13,HR,New York
92,Denise Waters,42,Engineer,89182,2022-08-28,HR,New York
97,Stephanie Carter,35,Manager,124430,2019-06-01,HR,New York
100,Joshua Hernandez,32,Analyst,47927,1995-06-08,HR,New York
122,Emily Cervantes,56,Consultant,82581,1973-04-22,HR,New York
128,Richard Yang,41,Engineer,58543,1970-01-27,HR,New York
129,Laura Brown,52,Engineer,134286,2004-03-12,HR,New York
132,Eric Harris,32,Engineer,106303,2010-10-13,HR,New York
133,Kimberly Ramirez,59,Developer,141440,2024-10-25,HR,New York
137,Craig Moore,29,Developer,99885,2020-03-01,HR,New York
140,James Hawkins,44,Developer,140037,1982-05-14,HR,New York
143,Rebecca Carter,41,Developer,64090,1986-03-07,HR,New York
155,Christina Erickson,52,Developer,129088,2023-05-05,HR,New York
164,Angela Carter,58,Developer,103247,1981-08-25,HR,New York
167,Christopher Howard,34,Engineer,129730,2015-07-14,HR,New York
186,Rachel Gonzalez,60,Engineer,83544,1970-08-09,HR,New York
208,Sarah Barrett,56,Consultant,79360,1977-09-10,HR,New York
212,Robert West,46,Analyst,104538,2006-03-01,HR,New York
213,Mariah Wilkinson MD,59,Analyst,128020,2020-03-08,HR,New York
214,Joshua Fitzgerald,56,Engineer,118567,1982-05-15,HR,New York
218,Jennifer Mcbride,32,Manager,138197,2003-11-08,HR,New York
225,Jennifer Riggs,29,Engineer,81705,2019-09-05,HR,New York
226,Elizabeth Wagner,31,Engineer,121559,1975-05-18,HR,New York
233,Carl Fisher,56,Engineer,95835,2001-12-13,HR,New York
234,Rhonda Jones,29,Manager,148521,1990-05-03,HR,New York
235,Rodney Aguilar,39,Developer,144413,1975-10-02,HR,New York
236,Jason Garcia,51,Developer,129472,2014-02-23,HR,New York
237,Kathryn Johnson,51,Manager,120162,1993-12-08,HR,New York
238,Julia Hammond,35,Consultant,139263,1978-03-30,HR,New York
239,Alexandra George,28,Analyst,142086,2022-09-16,HR,New York
241,Michael Clements,38,Consultant,53577,1995-11-13,HR,New York
243,Regina Nicholson,27,Manager,79226,2015-12-29,HR,New York
245,Anthony Mckenzie,26,Developer,75304,1990-03-06,HR,New York
250,Shane Davis,52,Developer,138616,2015-10-30,HR,New York
255,Andrew Forbes,40,Analyst,124688,1987-01-09,HR,New York
263,Alan Taylor,34,Analyst,55320,1985-01-12,HR,New York
266,Jessica Chavez,22,Analyst,123700,1994-09-03,HR,New York
280,David Miller,44,Engineer,51861,1983-01-16,HR,New York
282,Edward Jenkins,30,Manager,94819,1981-06-03,HR,New York
291,Anthony Evans,38,Developer,114057,2013-10-15,HR,New York
300,Charles Meyer,32,Engineer,50390,1974-10-10,HR,New York
301,Andrea Washington,27,Engineer,132643,1983-06-29,HR,New York
303,Bonnie Berger,24,Engineer,44084,2022-02-27,HR,New York
313,Robert Hernandez,36,Engineer,119851,2022-08-16,HR,New York
324,Corey Bates,38,Analyst,103966,1995-04-28,HR,New York
327,Patrick Watson,49,Developer,95891,1977-09-02,HR,New York
333,Brittany Harper,30,Developer,78681,2008-10-24,HR,New York
336,Laura Cervantes,41,Analyst,57325,2008-10-30,HR,New York
337,Edward Simon,33,Manager,64627,1973-03-16,HR,New York
339,Kathy Harrell,22,Engineer,135861,2016-10-20,HR,New York
347,Felicia Martin,59,Consultant,103513,1998-02-09,HR,New York
349,Lauren Thomas,35,Engineer,131316,2019-06-04,HR,New York
353,Micheal Cisneros,38,Manager,105743,2006-06-23,HR,New York
356,Pamela Thomas,31,Analyst,147578,2000-11-30,HR,New York
360,Julie Martin,44,Consultant,135019,1985-04-11,HR,New York
369,Alicia Sullivan,37,Consultant,115735,2015-02-25,HR,New York
374,Courtney Brown,28,Manager,41702,2020-07-02,HR,New York
378,Justin Howard,34,Consultant,115896,1971-10-02,HR,New York
383,Alicia Santiago,59,Consultant,44745,1977-04-13,HR,New York
386,Jill Graham,31,Manager,123625,2019-08-30,HR,New York
387,Ryan Alexander,39,Developer,105729,1988-03-02,HR,New York
389,Robert Andrews,45,Analyst,118030,2012-05-25,HR,New York
391,Danielle Pierce,57,Engineer,142621,2009-01-11,HR,New York
393,Cynthia Durham,32,Developer,138460,2002-11-02,HR,New York
399,Dr. Sandra Wallace,34,Analyst,74284,1975-02-10,HR,New York
404,Paul Reynolds,30,Manager,117464,2004-06-15,HR,New York
405,Ryan Bentley,42,Manager,78413,1975-09-11,HR,New York
407,Darrell Ray,22,Manager,70415,2001-07-03,HR,New York
410,Nicholas Floyd,50,Engineer,111768,1988-12-05,HR,New York
418,Rachel Hill,32,Analyst,83108,1977-04-05,HR,New York
423,Edward Fisher III,24,Analyst,83987,2021-10-24,HR,New York
426,Elizabeth Powell,34,Developer,145625,1988-09-02,HR,New York
430,Jeanette Bradford,28,Developer,79787,2008-01-07,HR,New York
433,Thomas Hernandez,32,Engineer,48426,2012-12-23,HR,New York
440,Heather Ferguson,35,Analyst,75119,1995-10-23,HR,New York
441,David Perkins,60,Analyst,74052,1989-02-13,HR,New York
461,Laura Briggs,33,Consultant,95578,1994-05-11,HR,New York
465,Amber Williams,23,Consultant,92451,1997-08-15,HR,New York
468,Brett Merritt,49,Manager,79873,2016-09-01,HR,New York
470,Haley Mcclure,30,Developer,120083,2007-02-25,HR,New York
487,David Smith,38,Engineer,123386,2023-03-22,HR,New York
488,Peter Faulkner,43,Manager,70412,2015-10-30,HR,New York
497,Jessica Coleman,53,Consultant,124564,1981-03-24,HR,New York
513,Elizabeth Glover,35,Manager,44944,1989-05-16,HR,New York
514,Theresa Solis,29,Analyst,108574,1986-07-17,HR,New York
518,Ian Miller,27,Engineer,124242,2022-09-11,HR,New York
524,Erika Haley,49,Developer,131411,2004-02-17,HR,New York
529,Patricia Cox,46,Manager,104162,1989-07-18,HR,New York
532,Lisa Hunter,60,Consultant,126113,2017-12-24,HR,New York
536,Daniel Anderson,45,Manager,97725,2008-05-29,HR,New York
540,Michael Schmidt,42,Consultant,69988,1991-02-10,HR,New York
545,Madison Moore,27,Engineer,112817,2005-10-28,HR,New York
561,Michael Thomas,56,Analyst,83886,1981-03-31,HR,New York
565,Brittany Moore,47,Manager,44357,1997-09-19,HR,New York
570,Samuel Andersen Jr.,44,Engineer,50119,1986-12-19,HR,New York
572,Miss Elizabeth Ball,51,Manager,94540,2004-05-10,HR,New York
574,Mr. David Bush,29,Manager,82631,1985-04-12,HR,New York
575,Jennifer Thompson,37,Consultant,66543,1979-06-04,HR,New York
582,Douglas Hudson,48,Manager,73019,2016-08-26,HR,New York
587,Paul Richardson,31,Manager,69456,1973-08-05,HR,New York
589,Jared Wade,46,Developer,40467,2005-11-17,HR,New York
593,Karen Manning,53,Engineer,147126,1974-02-12,HR,New York
596,Raymond Grant,36,Analyst,42933,2019-07-22,HR,New York
605,Michael Graham,53,Manager,110511,1992-12-21,HR,New York
617,Sheila Stanley,28,Developer,58717,2006-07-16,HR,New York
618,Cory Frazier,28,Developer,46967,1986-01-03,HR,New York
624,Alyssa Keith,34,Engineer,41063,2018-03-31,HR,New York
628,Joseph Combs,45,Engineer,96030,2004-11-03,HR,New York
631,Susan Rojas,26,Manager,49304,2009-07-13,HR,New York
632,Eric Bonilla,50,Developer,62243,1970-05-09,HR,New York
641,Robert Espinoza,49,Manager,128964,1992-12-13,HR,New York
653,Brandon Carroll,40,Consultant,75527,1988-08-09,HR,New York
654,Michael Hale,51,Consultant,94541,2013-07-29,HR,New York
656,Jeffrey Jones,48,Developer,144386,2007-02-24,HR,New York
663,Jennifer Cook,33,Engineer,101183,2000-11-11,HR,New York
668,Brandon Padilla,54,Manager,111299,2004-06-08,HR,New York
669,Claire Mullen,58,Manager,60177,2015-07-25,HR,New York
672,Linda Hahn,31,Engineer,83440,2005-08-23,HR,New York
673,Charles King,41,Analyst,67642,2017-06-13,HR,New York
675,Jason Edwards,26,Analyst,98087,2018-04-20,HR,New York
686,Jason Miller,33,Engineer,144136,1985-04-22,HR,New York
693,Richard Nelson,36,Engineer,49035,2005-07-11,HR,New York
708,Casey Fry,51,Developer,143304,1988-08-22,HR,New York
711,Emma Mullen,31,Developer,124213,1982-10-02,HR,New York
723,Jeremy Cunningham,58,Manager,90983,1984-09-02,HR,New York
752,Cody Anderson,32,Consultant,66599,2002-03-30,HR,New York
754,Patricia Smith,39,Analyst,44210,1985-12-25,HR,New York
762,Tina Watson,34,Engineer,73133,2019-09-25,HR,New York
764,Olivia Reed,35,Consultant,50366,2021-02-18,HR,New York
768,Carlos Klein,26,Engineer,60507,1984-06-26,HR,New York
773,Tiffany Kelly,26,Engineer,66278,2014-02-05,HR,New York
780,Allen Barnes,55,Analyst,83985,2003-06-11,HR,New York
783,Edward Chavez,40,Consultant,97778,1971-11-10,HR,New York
800,Bryan Peterson,33,Consultant,84043,1981-09-17,HR,New York
803,Laura Moreno,32,Analyst,94418,2020-09-07,HR,New York
804,Charles Davis,37,Engineer,58710,1997-02-21,HR,New York
806,Sandra Cisneros,36,Consultant,66177,2007-11-24,HR,New York
828,Sarah Hardy,37,Manager,100235,2002-12-25,HR,New York
834,Laura Reilly,55,Consultant,113641,1992-04-06,HR,New York
836,Gregg Matthews,56,Engineer,40026,1999-12-26,HR,New York
840,Joseph Holt,38,Manager,98512,2017-01-15,HR,New York
841,Samantha Miller,28,Analyst,87858,1972-10-01,HR,New York
842,Shaun Wilson,40,Developer,69903,2016-02-02,HR,New York
843,Lisa Rios,46,Analyst,78121,2016-11-21,HR,New York
860,Ashley Butler,30,Analyst,42105,2023-08-09,HR,New York
862,Angela Sheppard,49,Consultant,83495,1982-12-17,HR,New York
863,Mitchell Welch,23,Consultant,140037,1970-03-03,HR,New York
867,Evan Sanchez,55,Consultant,52203,1997-02-04,HR,New York
871,Veronica White,46,Consultant,69885,2013-12-15,HR,New York
877,Tristan Lopez,52,Consultant,122348,1991-09-09,HR,New York
878,Evelyn Smith,47,Analyst,111527,1975-04-28,HR,New York
894,Jeremy Warren,56,Engineer,128778,2005-04-28,HR,New York
898,Shannon Jordan,47,Manager,62184,2019-07-22,HR,New York
899,Miranda Kelly,55,Engineer,130775,1972-06-30,HR,New York
909,Jessica Lopez,49,Consultant,69707,1985-12-08,HR,New York
911,Nicholas Hutchinson,48,Consultant,43551,1989-01-27,HR,New York
913,Nichole Underwood,39,Analyst,50704,1975-05-30,HR,New York
915,Taylor Norris,27,Consultant,75394,1990-09-27,HR,New York
923,Brittany Wilson,36,Analyst,144613,1992-08-03,HR,New York
930,Jorge Hanson,45,Developer,71396,2024-06-06,HR,New York
931,Maria Hill,28,Developer,143574,1997-10-18,HR,New York
934,Mariah Burnett,35,Engineer,97579,1989-10-07,HR,New York
935,Denise Newman,37,Manager,47235,1981-11-15,HR,New York
937,Susan Orr,43,Engineer,50154,1997-04-16,HR,New York
942,Barbara Espinoza,43,Engineer,67804,1987-04-06,HR,New York
951,Thomas Black,26,Analyst,42350,1997-06-09,HR,New York
956,Heather Thompson,46,Engineer,77040,1991-01-29,HR,New York
961,Robert Odonnell,37,Manager,66683,1999-08-14,HR,New York
965,Dustin Horn,37,Analyst,48022,1983-04-18,HR,New York
971,Rhonda Ortega,58,Consultant,136131,2007-11-20,HR,New York
975,Roger Williams,39,Developer,93890,1975-04-01,HR,New York
977,Jeffrey Phillips,57,Developer,85615,1992-02-28,HR,New York
979,John Yoder,29,Manager,115850,1999-10-23,HR,New York
980,Kaitlyn Ball,53,Developer,99570,1990-09-11,HR,New York
990,Victor Hernandez,48,Manager,54222,1997-06-19,HR,New York
993,Daniel Porter,49,Manager,119733,2014-07-12,HR,New York
997,Brenda Cruz,54,Developer,83146,1999-01-27,HR,New York
20,Kevin Wright,43,Consultant,128585,2014-03-21,IT,San Francisco
23,Lynn Perez,50,Manager,68030,1984-10-25,IT,San Francisco
33,Joseph Underwood,40,Analyst,136469,2014-06-02,IT,San Francisco
34,William Thomas,27,Manager,41601,1982-03-19,IT,San Francisco
38,Kathleen Rhodes,44,Consultant,53535,2012-05-19,IT,San Francisco
39,Nicole Roberts,45,Manager,78833,2017-04-03,IT,San Francisco
40,Rebecca Moody,55,Analyst,104091,2016-10-27,IT,San Francisco
49,Michael Jackson,30,Engineer,73742,1979-05-15,IT,San Francisco
