e.emp_id,e.name,e.salary,e.department
572,Miss Elizabeth Ball,94540,HR
593,Karen Manning,147126,HR
605,Michael Graham,110511,HR
628,Joseph Combs,96030,HR
641,Robert Espinoza,128964,HR
654,Michael Hale,94541,HR
656,Jeffrey Jones,144386,HR
663,Jennifer Cook,101183,HR
668,Brandon Padilla,111299,HR
675,Jason Edwards,98087,HR
686,Jason Miller,144136,HR
708,Casey Fry,143304,HR
711,Emma Mullen,124213,HR
783,Edward Chavez,97778,HR
803,Laura Moreno,94418,HR
828,Sarah Hardy,100235,HR
834,Laura Reilly,113641,HR
840,Joseph Holt,98512,HR
863,Mitchell Welch,140037,HR
877,Tristan Lopez,122348,HR
878,Evelyn Smith,111527,HR
894,Jeremy Warren,128778,HR
899,Miranda Kelly,130775,HR
923,Brittany Wilson,144613,HR
931,Maria Hill,143574,HR
934,Mariah Burnett,97579,HR
971,Rhonda Ortega,136131,HR
975,Roger Williams,93890,HR
979,John Yoder,115850,HR
980,Kaitlyn Ball,99570,HR
993,Daniel Porter,119733,HR
20,Kevin Wright,128585,IT
33,Joseph Underwood,136469,IT
40,Rebecca Moody,104091,IT
51,David Benson,126945,IT
56,Melissa Boyer,111658,IT
58,Erica Taylor,126485,IT
64,Lori Navarro,149585,IT
66,Paul Mclean,125201,IT
87,Scott Harris,141412,IT
90,Nicole Ross,103052,IT
94,Michelle Obrien,118335,IT
105,Austin Morris,117401,IT
113,Michelle Robinson,134442,IT
119,Becky Cain,125504,IT
138,Holly Moore,126643,IT
156,Dawn Huffman,146905,IT
157,Logan Jones,129034,IT
169,Eric Flores,125097,IT
174,Terri Lamb,108548,IT
190,Jill Byrd,136660,IT
195,Crystal Thomas,118651,IT
230,Amber Macdonald,136387,IT
246,Deborah Thomas,140333,IT
248,Linda Sandoval,98795,IT
251,Billy Palmer,147273,IT
274,Marie Norman,130029,IT
292,Craig Mosley,141383,IT
295,Michael Perry,97285,IT
299,Robin Adams,104023,IT
302,Amanda Mcguire,115028,IT
312,Dana Nunez,142894,IT
314,William Hall,110779,IT
315,Brian Gibson,115123,IT
366,Todd Odonnell,95885,IT
372,Tanya Rodgers,106314,IT
379,Raymond Payne,129016,IT
385,Patrick Le,111650,IT
395,Danielle Williams,143742,IT
412,Joel Davis,145758,IT
428,Amanda Dougherty,102413,IT
434,Mark Martin,105417,IT
447,Susan Jones,120947,IT
452,Tamara Simmons,129280,IT
455,Eric Garcia,108710,IT
460,Cindy Stein,134702,IT
483,Brendan Lara,98656,IT
489,Gina Green,100962,IT
504,Laura Archer,126756,IT
505,Brooke Powers,142828,IT
506,Pam Perez,127063,IT
512,Marcus Gutierrez,113092,IT
528,Heather Sutton,132906,IT
544,Mary Evans,108717,IT
552,Brian Luna,145303,IT
558,Thomas Costa,126039,IT
563,Alan Bartlett,119269,IT
588,Sheryl Morgan,102382,IT
594,Madison Brown,94599,IT
601,Jason Livingston,130000,IT
660,Reginald Brown,102312,IT
680,Antonio Brown,148214,IT
682,Teresa Mccoy,129666,IT
684,Bobby Franklin,128325,IT
699,Philip Christian,142581,IT
707,Robert Pollard,126945,IT
715,Samantha Christensen,137305,IT
722,David Johnson,127749,IT
738,Todd Vang,120807,IT
739,Cindy Rodriguez MD,99923,IT
743,Anthony Estrada Jr.,134662,IT
751,Sandra Murphy,144385,IT
755,Matthew Clarke,95635,IT
765,Michele Palmer,142786,IT
777,Shelley Burton,146210,IT
790,Corey Lee,127927,IT
791,Amy Randolph,116887,IT
810,Melissa Johnson,111003,IT
817,Dana Chan,113501,IT
827,Kellie Walters,107589,IT
846,James Kirk,128644,IT
855,Melinda Morgan,99770,IT
875,Danielle Cole,149718,IT
895,Tim Mcguire,147927,IT
900,Katherine Fernandez,148473,IT
904,Dominique Stone,107269,IT
922,David Henderson,124786,IT
933,Virginia Hendrix,115038,IT
938,Nicholas Huang,146906,IT
944,Beth Frey,97292,IT
945,Stephanie Gillespie,118756,IT
950,Ashlee David,109904,IT
958,Angela James,145327,IT
962,Andrea Richards,147544,IT
963,Marissa Bradley,107252,IT
970,Jessica Jones,113158,IT
14,Ryan Wood,140456,Marketing
21,Sonya Allen MD,142665,Marketing
22,Timothy Cox,124583,Marketing
28,James Sherman,120389,Marketing
29,Amber Silva,102322,Marketing
31,Andrea Randall,125146,Marketing
43,Julie Blankenship,99205,Marketing
44,Dylan Dominguez,104031,Marketing
79,Gregory Dean,96970,Marketing
99,Catherine Sullivan,136438,Marketing
103,Jeffery Martin,114972,Marketing
104,Kevin Mercer,134344,Marketing
123,Karen Coffey,140328,Marketing
136,Matthew Hanson,128369,Marketing
146,Michael White,112550,Marketing
151,Lorraine Garcia,122474,Marketing
185,Bradley Mullins,94361,Marketing
217,Kelly Wyatt,102671,Marketing
220,Jennifer Garcia,102402,Marketing
221,Richard White,97611,Marketing
232,Sara Mcguire,113674,Marketing
256,Richard Martin,95638,Marketing
261,Jill Moyer,110526,Marketing
269,Lisa Franklin,134016,Marketing
272,Frank Martin,148027,Marketing
273,Stephanie Pierce,106981,Marketing
275,Marvin Dixon,96593,Marketing
278,Victor Weeks,104484,Marketing
283,Michael Jackson,134125,Marketing
288,Alyssa Young,132011,Marketing
305,Chris Jones,98172,Marketing
317,Tracy Mitchell,142159,Marketing
323,Cassandra Arnold,103874,Marketing
332,Jeffery Foley,118983,Marketing
340,James Stevens,146917,Marketing
346,Douglas Mckenzie,107675,Marketing
357,Misty Anderson,124207,Marketing
367,Amanda Clark,97212,Marketing
371,Sherry Johnston,140447,Marketing
380,Ronald Berry,120047,Marketing
384,Vanessa Stewart,127447,Marketing
388,John Alvarado,149507,Marketing
439,Danielle Brown,113094,Marketing
444,Natalie Young,133653,Marketing
457,Stephanie Richardson,96426,Marketing
472,Michelle Smith,123857,Marketing
474,Jason Smith,149100,Marketing
475,Mark Green,113501,Marketing
482,David Roberts III,96251,Marketing
521,Larry Sanchez,126908,Marketing
530,Laura Phillips,98004,Marketing
533,Loretta Espinoza,100209,Marketing
542,Michele Butler,130495,Marketing
546,Dr. Matthew Harris,97946,Marketing
548,Ashley Crawford,103311,Marketing
555,Lauren Webb,104638,Marketing
566,Paul Fernandez,139401,Marketing
600,Charles Melton,140513,Marketing
610,Carolyn Choi,132754,Marketing
619,Alexander Hughes,134208,Marketing
621,Christina Murphy,102648,Marketing
625,Michele Soto,119093,Marketing
627,Jessica Rasmussen,138674,Marketing
629,Jasmine Brown,123673,Marketing
634,Amber Bass,95143,Marketing
648,Michael Hardy,108100,Marketing
655,Raymond Foster,125916,Marketing
658,Hannah Alexander,118248,Marketing
666,Joshua Daniels,110533,Marketing
670,Tina Perez,115453,Marketing
676,Mario Ponce,108421,Marketing
685,Charles Harris,139554,Marketing
702,Jared Martin,130346,Marketing
716,Jonathan Rodriguez,103244,Marketing
726,Lori Ellis,94570,Marketing
728,Brian Clarke,96132,Marketing
733,Geoffrey Vincent,146162,Marketing
735,Lauren Moore,110724,Marketing
746,Christopher Hudson,110749,Marketing
749,Nicholas Johnson,147239,Marketing
784,John Barnes,109324,Marketing
794,Deanna Ross,100759,Marketing
812,Lisa Flores,140120,Marketing
821,Stacey Wright,138465,Marketing
824,Mark Hughes,122797,Marketing
826,Megan Shaw,127873,Marketing
829,Kevin Grant,143312,Marketing
850,Jennifer White,126663,Marketing
852,Jennifer Maynard,110795,Marketing
868,Anthony Bowman,123383,Marketing
869,Madison Bird,137444,Marketing
876,John Richards,139782,Marketing
879,David Bradshaw,115805,Marketing
888,Crystal Meyer,148664,Marketing
907,Daniel Barton,141300,Marketing
921,Mark Peters,99952,Marketing
949,Shelby White,101891,Marketing
957,Victor Price,122296,Marketing
964,Karen Maldonado,138593,Marketing
981,Kenneth Medina,103283,Marketing
985,Jessica Herrera,144716,Marketing
998,Collin Schneider,97279,Marketing
8,Tanya King,135356,Operations
12,Candice Smith,110120,Operations
25,Karen Williams,112567,Operations
32,Jason Obrien,107650,Operations
42,Lynn Bruce,139639,Operations
48,Peter Moore,103561,Operations
55,Maria Cruz,103697,Operations
57,Regina Hudson,139588,Operations
67,Ashley Howell,106326,Operations
83,Kaitlyn Stewart,118861,Operations
98,Catherine Daniels,103366,Operations
111,Michelle Hernandez,119800,Operations
115,Melanie Walker,113224,Operations
118,Tonya Martin,129267,Operations
134,Michael Rivers,129925,Operations
142,Laura Johnson,136346,Operations
161,Linda Wilson,131052,Operations
166,Melissa Smith,140341,Operations
189,Kristin Mercer,144230,Operations
194,Patrick Wells,115258,Operations
198,Susan Crawford,127468,Operations
202,Aaron Bryant,115019,Operations
203,Calvin Barnes,127423,Operations
211,Mark Wilson,99320,Operations
229,Edwin Miller,105061,Operations
242,Donald Lee,145495,Operations
257,Elizabeth Harrison,119283,Operations
262,Donald Andrade,144159,Operations
264,Kevin Nicholson,112676,Operations
268,Marissa Diaz,96796,Operations
281,Joseph Davis,126722,Operations
286,Tiffany Stevens,128166,Operations
294,Brandon Roberts,134031,Operations
308,Robert Pena,106397,Operations
325,William Hartman,104920,Operations
338,April Galloway,143671,Operations
341,Dr. Craig Lee,113440,Operations
381,Tracy Phillips,147414,Operations
382,Martha Hunter,144919,Operations
390,Christina Bell,138624,Operations
392,William Walsh,114790,Operations
411,George Raymond,109566,Operations
413,Brittany Gonzalez,95930,Operations
420,Robert Gomez,146838,Operations
422,William Smith,115367,Operations
431,Ricardo Allen,105940,Operations
432,Rebecca Ponce,149051,Operations
436,Dawn Wood,138022,Operations
446,Frank Adams,118602,Operations
448,Evelyn Adkins,129365,Operations
453,Connie White,100795,Operations
473,Christy Salazar,114936,Operations
479,Kayla Costa,131944,Operations
492,Danielle Patterson,126677,Operations
494,Sheila Rivera,140203,Operations
522,Daniel Beck,116225,Operations
525,Ian Martinez,145229,Operations
531,Kelly Fischer,112186,Operations
535,Marco Kennedy,137861,Operations
539,Amanda Wade,98074,Operations
541,Carrie Buck,143004,Operations
553,Mary Adams,111718,Operations
564,Amy Brandt,102462,Operations
584,Melissa Hernandez,100542,Operations
604,Kevin Anderson,126135,Operations
614,Diane Cox,129806,Operations
615,Katelyn Robinson,130098,Operations
637,Jodi Gill,121633,Operations
662,Andrea Nicholson,100751,Operations
667,Amanda Anderson,105196,Operations
689,Randy Graham,108290,Operations
691,Brandon Smith,114316,Operations
703,Lisa Church,144292,Operations
732,Francisco Munoz,135332,Operations
742,Anthony Gilbert,135199,Operations
759,Mary Wilson,125490,Operations
772,Anthony Smith,133571,Operations
778,Samantha Johnson,112547,Operations
795,Bradley Williams,147898,Operations
797,David Byrd,116954,Operations
805,Susan Carroll,122355,Operations
814,Kerri Coleman,110322,Operations
820,Adam Gay,106328,Operations
823,Michael Edwards,147810,Operations
831,Jennifer Stafford,125411,Operations
838,Kimberly Burke,108904,Operations
844,Jessica Simmons,105733,Operations
845,Linda Moore,122547,Operations
857,Cheryl Potter,95615,Operations
858,Alexis Wolfe,139992,Operations
865,Thomas Fisher,114202,Operations
872,Eric Davis,147073,Operations
873,Samuel Nicholson DDS,111423,Operations
884,David Mason,137379,Operations
885,Jane Jackson,130421,Operations
890,Taylor Hart,97095,Operations
901,Melissa Garcia,106878,Operations
912,Antonio Santos,143461,Operations
914,Bryan Mitchell,118053,Operations
925,Melanie Craig,144365,Operations
946,Sara Nichols,138632,Operations
948,Michelle Combs,122157,Operations
953,Kevin Walters,130651,Operations
